Rank,Stock,Ticker,Type,Quantity,Market Value,% Portfolio,Previous % Portfolio,Change,% Change,Change Type,% Ownership,Sector,Source Type,Source Date,Avg Price
34,PAYPAL HOLDINGS INC,PYPL,PUT,4970400.0,1207012000.0,0.295621,0.2215,1332400.0,36.624519,ADDITION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
35,SPDR GOLD TRUST,GLD,CALL,7087600.0,1133733000.0,0.277673,0.677,-7510800.0,-51.449474,REDUCTION,NO DATA,MATERIALS,13F,03/31/2021,N/A
36,PAYPAL HOLDINGS INC,PYPL,CALL,4660900.0,1131853000.0,0.277213,0.1743,1798800.0,62.848957,ADDITION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
37,SALESFORCE.COM INC.,CRM,CALL,5073840.0,1074994000.0,0.263287,0.2431,872580.0,20.769483,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
38,ISHARES IBOXX INVESTMENT GRADE CORPORATE BOND FUND,LQD,PUT,8165200.0,1061884000.0,0.260076,0.0912,5627200.0,221.717888,ADDITION,NO DATA,FINANCE,13F,03/31/2021,N/A
39,WALT DISNEY CO. (THE),DIS,PUT,5669900.0,1046210000.0,0.256237,0.3028,-758151.0,-11.794415,REDUCTION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
40,CHIPOTLE MEXICAN GRILL  INC.,CMG,PUT,733500.0,1042171000.0,0.255248,0.3466,-227800.0,-23.697077,REDUCTION,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
41,SHOPIFY INC,SHOP,CALL,930800.0,1029930000.0,0.25225,0.3112,-126600.0,-11.972763,REDUCTION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
42,SQUARE INC,SQ,PUT,4298500.0,975974000.0,0.239035,0.2481,-86500.0,-1.972634,REDUCTION,N/A,FINANCE,13F,03/31/2021,N/A
43,SQUARE INC,SQ,CALL,4181100.0,949319000.0,0.232507,0.26,-414100.0,-9.011577,REDUCTION,N/A,FINANCE,13F,03/31/2021,N/A
44,WALT DISNEY CO. (THE),DIS,CALL,4769800.0,880124000.0,0.215559,0.2917,-1422928.0,-22.977402,REDUCTION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
45,COSTCO CO.,COST,PUT,2434500.0,858113000.0,0.210168,0.1874,521700.0,27.274153,ADDITION,N/A,CONSUMER STAPLES,13F,03/31/2021,N/A
46,BAIDU INC ADR,BIDU,PUT,3890500.0,846378000.0,0.207294,0.0979,2150000.0,123.527722,ADDITION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
47,FACEBOOK INC,FB,N/A,2866282.0,844207000.0,0.206763,0.2182,-205754.0,-6.697643,REDUCTION,0.1191579,COMMUNICATIONS,13F,03/31/2021,261.85
48,BOOKING HOLDINGS INC. (PRICELINE),BKNG,PUT,361600.0,842470000.0,0.206337,0.2492,-68700.0,-15.965605,REDUCTION,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
49,SPDR ENERGY SELECT SECTOR FUND,XLE,CALL,16445700.0,806826000.0,0.197607,0.1527,954400.0,6.160877,ADDITION,NO DATA,ENERGY,13F,03/31/2021,N/A
50,NIO INC,NIO,PUT,20622800.0,803876000.0,0.196885,0.2364,1966500.0,10.540675,ADDITION,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
51,BOOKING HOLDINGS INC. (PRICELINE),BKNG,CALL,335300.0,781195000.0,0.19133,0.182,21000.0,6.681514,ADDITION,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
52,VISA INC,V,CALL,3572800.0,756469000.0,0.185274,0.1955,136000.0,3.957169,ADDITION,N/A,FINANCE,13F,03/31/2021,N/A
53,BERKSHIRE HATHAWAY INC CLASS B,BRK.B,CALL,2884300.0,736852000.0,0.180469,0.1354,637800.0,28.39083,ADDITION,N/A,FINANCE,13F,03/31/2021,N/A
54,MERCADOLIBRE INC,MELI,PUT,480500.0,707363000.0,0.173247,0.1701,90000.0,23.047375,ADDITION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
55,COSTCO CO.,COST,CALL,2000900.0,705277000.0,0.172736,0.1339,634200.0,46.403746,ADDITION,N/A,CONSUMER STAPLES,13F,03/31/2021,N/A
56,VISA INC,V,PUT,3267800.0,691891000.0,0.169457,0.1456,707100.0,27.613543,ADDITION,N/A,FINANCE,13F,03/31/2021,N/A
57,ADOBE SYSTEMS  INC.,ADBE,PUT,1406300.0,668513000.0,0.163732,0.1751,59700.0,4.433388,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
58,SPDR GOLD TRUST,GLD,PUT,4130600.0,660731000.0,0.161826,0.414,-4796200.0,-53.7281,REDUCTION,NO DATA,MATERIALS,13F,03/31/2021,N/A
59,ISHARES 20+ YEAR TREASURY BOND ETF,TLT,PUT,4833100.0,654643000.0,0.160335,0.1724,630100.0,14.991673,ADDITION,NO DATA,FINANCE,13F,03/31/2021,N/A
60,ISHARES IBOXX $ HIGH YIELD CORP BOND ETF,HYG,CALL,7504900.0,654277000.0,0.160245,0.1816,-494100.0,-6.177022,REDUCTION,NO DATA,FINANCE,13F,03/31/2021,N/A
61,ZOOM VIDEO COMMUNICATIONS INC,ZM,PUT,2017200.0,648106000.0,0.158734,0.2107,-385200.0,-16.033966,REDUCTION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
62,ROKU INC,ROKU,CALL,1964500.0,639975000.0,0.156742,0.1878,-210500.0,-9.678161,REDUCTION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
63,AMAZON.COM INC.,AMZN,N/A,205965.0,637272000.0,0.15608,0.007,197751.0,2407.487217,ADDITION,0.0409014,CONSUMER DISCRETIONARY,13F,03/31/2021,3060.6605
64,ZOOM VIDEO COMMUNICATIONS INC,ZM,CALL,1981000.0,636475000.0,0.155885,0.1399,386400.0,24.231782,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
65,SEA LTD NOTE 1.000%12/0,DEBT-SEA,PRN,142131000.0,632517000.0,0.154916,N/A,142131000.0,N/A,NEW,N/A, ,13F,03/31/2021,N/A
66,GAMESTOP CORP.  CLASS A,GME,PUT,3271400.0,620977000.0,0.152089,0.0109,1046900.0,47.062261,ADDITION,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
67,CHIPOTLE MEXICAN GRILL  INC.,CMG,CALL,436600.0,620330000.0,0.151931,0.2067,-136600.0,-23.831124,REDUCTION,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
68,MICRON TECHNOLOGY  INC.,MU,CALL,7006000.0,617999000.0,0.15136,0.0806,2884000.0,69.966036,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
69,HOME DEPOT  INC. (THE),HD,CALL,1973500.0,602411000.0,0.147542,0.098,554100.0,39.037622,ADDITION,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
70,MICRON TECHNOLOGY  INC.,MU,PUT,6756100.0,595956000.0,0.145961,0.11,1131100.0,20.108444,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
71,BERKSHIRE HATHAWAY INC CLASS B,BRK.B,PUT,2264800.0,578588000.0,0.141707,0.0823,899100.0,65.834371,ADDITION,N/A,FINANCE,13F,03/31/2021,N/A
72,APPLE INC,AAPL,N/A,4722844.0,576895000.0,0.141293,0.1258,1075564.0,29.489483,ADDITION,0.0281321,INFORMATION TECHNOLOGY,13F,03/31/2021,112.6434
73,INTEL CORP.,INTC,PUT,8990800.0,575411000.0,0.140929,0.0891,2109000.0,30.646052,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
74,ADOBE SYSTEMS  INC.,ADBE,CALL,1206600.0,573581000.0,0.140481,0.217,-462200.0,-27.696548,REDUCTION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
75,MICROSOFT CORP.,MSFT,N/A,2400046.0,565859000.0,0.13859,0.1499,-191769.0,-7.399023,REDUCTION,0.0318215,INFORMATION TECHNOLOGY,13F,03/31/2021,182.46
76,BAIDU INC ADR,BIDU,N/A,2595255.0,564598000.0,0.138281,0.0292,2075181.0,399.016486,ADDITION,0.9769804,COMMUNICATIONS,13F,03/31/2021,210.6885
77,ISHARES MBS ETF,MBB,N/A,5134171.0,556647000.0,0.136334,0.0184,4492215.0,699.769922,ADDITION,NO DATA,FINANCE,13F,03/31/2021,108.6338
78,NVIDIA CORP.,NVDA,N/A,1032252.0,551150000.0,0.134987,0.0318,798121.0,340.886512,ADDITION,0.1664923,INFORMATION TECHNOLOGY,13F,03/31/2021,497.8413
79,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,DIA,PUT,1594000.0,526307000.0,0.128903,0.0957,390800.0,32.480053,ADDITION,NO DATA,FINANCE,13F,03/31/2021,N/A
80,ROKU INC,ROKU,PUT,1612200.0,525206000.0,0.128633,0.1137,294700.0,22.368121,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
81,WELLS FARGO & CO.  (NORTHWEST BANCORPORATION),WFC,PUT,13402700.0,523643000.0,0.12825,0.1144,-1172500.0,-8.044487,REDUCTION,N/A,FINANCE,13F,03/31/2021,N/A
82,ISHARES MSCI EAFE INDEX FUND,EFA,PUT,6860500.0,520506000.0,0.127482,0.1249,275300.0,4.180587,ADDITION,NO DATA,FINANCE,13F,03/31/2021,N/A
83,SNAP INC CLASS A,SNAP,PUT,9653100.0,504761000.0,0.123626,0.1099,1207600.0,14.298739,ADDITION,N/A,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2021,N/A
84,ISHARES 20+ YEAR TREASURY BOND ETF,TLT,CALL,3710200.0,502547000.0,0.123083,0.1062,1120200.0,43.250965,ADDITION,NO DATA,FINANCE,13F,03/31/2021,N/A
85,TERADYNE INC,TER,PRN,128425000.0,493744000.0,0.120927,0.1265,0.0,0.0,N/A,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
86,WALMART INC,WMT,PUT,3617800.0,491406000.0,0.120355,0.1027,878000.0,32.046135,ADDITION,N/A,CONSUMER STAPLES,13F,03/31/2021,N/A
87,MERCADOLIBRE INC,MELI,CALL,333600.0,491106000.0,0.120281,0.1257,45100.0,15.632582,ADDITION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
88,INSULET CORP,PODD,PRN,174883000.0,489877000.0,0.11998,0.1218,4000000.0,2.340783,ADDITION,N/A,HEALTH CARE,13F,03/31/2021,N/A
89,JPMORGAN CHASE & CO. (CHEMICAL BANK),JPM,CALL,3181100.0,484259000.0,0.118604,0.161,-1691100.0,-34.709166,REDUCTION,N/A,FINANCE,13F,03/31/2021,N/A
90,ADOBE SYSTEMS  INC.,ADBE,N/A,1007399.0,478887000.0,0.117289,0.1222,67845.0,7.220979,ADDITION,0.2099977,INFORMATION TECHNOLOGY,13F,03/31/2021,356.3168
91,COMCAST CORP.  CLASS A,CMCSA,N/A,8816164.0,477043000.0,0.116837,0.0116,7964412.0,935.062319,ADDITION,0.1930880,COMMUNICATIONS,13F,03/31/2021,53.3381
92,ISHARES IBOXX INVESTMENT GRADE CORPORATE BOND FUND,LQD,CALL,3642600.0,473720000.0,0.116023,0.0274,2880000.0,377.655389,ADDITION,NO DATA,FINANCE,13F,03/31/2021,N/A
93,BAIDU INC ADR,BIDU,CALL,2172400.0,472606000.0,0.11575,0.1315,-165800.0,-7.090925,REDUCTION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
94,QUALCOMM INC.,QCOM,CALL,3562900.0,472405000.0,0.115701,0.103,961700.0,36.971398,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
95,GENERAL MOTORS CO,GM,PUT,8182200.0,470149000.0,0.115149,0.0304,5378500.0,191.835788,ADDITION,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
96,SNAP INC CLASS A,SNAP,CALL,8944300.0,467697000.0,0.114548,0.1322,-1209000.0,-11.907459,REDUCTION,N/A,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2021,N/A
97,TELADOC HEALTH INC,TDOC,PRN,137648000.0,467030000.0,0.114385,0.1335,0.0,0.0,N/A,N/A,HEALTH CARE,13F,03/31/2021,N/A
98,JOHNSON & JOHNSON CO.,JNJ,CALL,2810200.0,461856000.0,0.113117,0.0886,644700.0,29.771415,ADDITION,N/A,HEALTH CARE,13F,03/31/2021,N/A
99,CROWDSTRIKE HOLDINGS INC,CRWD,PUT,2517200.0,459414000.0,0.112519,0.0839,993600.0,65.213967,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
100,VISA INC,V,N/A,2163547.0,458088000.0,0.112195,0.1198,57539.0,2.732136,ADDITION,0.1275591,FINANCE,13F,03/31/2021,207.4178
101,ALPHABET INC. CLASS A,GOOGL,N/A,221306.0,456449000.0,0.111793,0.1389,-83441.0,-27.380417,REDUCTION,0.0735879,COMMUNICATIONS,13F,03/31/2021,1656.61
102,PFIZER  INC.,PFE,PUT,12301900.0,445698000.0,0.10916,0.1212,-365100.0,-2.882293,REDUCTION,N/A,HEALTH CARE,13F,03/31/2021,N/A
103,QUALCOMM INC.,QCOM,PUT,3354000.0,444707000.0,0.108917,0.1586,-650000.0,-16.233766,REDUCTION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
104,GOLDMAN SACHS GROUP INC,GS,CALL,1357700.0,443968000.0,0.108736,0.1101,-248100.0,-15.450243,REDUCTION,N/A,FINANCE,13F,03/31/2021,N/A
105,MODERNA INC,MRNA,PUT,3327000.0,435671000.0,0.106704,0.0644,954900.0,40.25547,ADDITION,N/A,HEALTH CARE,13F,03/31/2021,N/A
106,GAMESTOP CORP.  CLASS A,GME,CALL,2278000.0,432410000.0,0.105906,0.0084,563900.0,32.897731,ADDITION,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
107,MASTERCARD INC,MA,PUT,1211700.0,431426000.0,0.105665,0.1378,-272700.0,-18.371059,REDUCTION,N/A,FINANCE,13F,03/31/2021,N/A
108,LAM RESEARCH CORP.,LRCX,PUT,721900.0,429704000.0,0.105243,0.0894,-6500.0,-0.892367,REDUCTION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
109,THE TRADE DESK INC CLASS A,TTD,PUT,6569000.0,428075000.0,0.104844,0.1588,-1057000.0,-13.860477,REDUCTION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
110,FEDEX CORPORATION,FDX,PUT,1503000.0,426912000.0,0.104559,0.0892,182200.0,13.79467,ADDITION,N/A,TRANSPORTS,13F,03/31/2021,N/A
111,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD ADR,TSM,PUT,3586300.0,424188000.0,0.103892,0.0241,2737100.0,322.31512,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
112,CITIGROUP  INC.,C,PUT,5800100.0,421957000.0,0.103345,0.1358,-2668100.0,-31.507286,REDUCTION,N/A,FINANCE,13F,03/31/2021,N/A
113,CISCO SYSTEMS  INC.,CSCO,PUT,8152800.0,421581000.0,0.103253,0.0613,2887600.0,54.843121,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
114,EXXONMOBIL CORP. (STANDARD OIL OF NEW JERSEY),XOM,PUT,7465700.0,416810000.0,0.102085,0.0946,-1357500.0,-15.385574,REDUCTION,N/A,ENERGY,13F,03/31/2021,N/A
115,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST,DIA,CALL,1261300.0,416456000.0,0.101998,0.0815,236500.0,23.077674,ADDITION,NO DATA,FINANCE,13F,03/31/2021,N/A
116,SPDR S&P FINANCIAL ETF,XLF,PUT,12187500.0,414985000.0,0.101638,0.032,8018900.0,192.364343,ADDITION,NO DATA,FINANCE,13F,03/31/2021,N/A
117,WALMART INC,WMT,CALL,3038800.0,412760000.0,0.101093,0.1104,92900.0,3.153535,ADDITION,N/A,CONSUMER STAPLES,13F,03/31/2021,N/A
118,LAM RESEARCH CORP.,LRCX,CALL,684400.0,407382000.0,0.0997757,0.0548,238400.0,53.452915,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
119,ALIBABA GROUP HOLDING LTD ADR,BABA,N/A,1790293.0,405913000.0,0.099416,0.0709,618772.0,52.817833,ADDITION,0.0661690,COMMUNICATIONS,13F,03/31/2021,216.6265
120,GILEAD SCIENCES INC.,GILD,N/A,6130722.0,396229000.0,0.0970442,0.0606,2130066.0,53.242918,ADDITION,0.4878844,HEALTH CARE,13F,03/31/2021,66.2027
121,JPMORGAN CHASE & CO. (CHEMICAL BANK),JPM,PUT,2600200.0,395828000.0,0.0969459,0.1232,-1127500.0,-30.246533,REDUCTION,N/A,FINANCE,13F,03/31/2021,N/A
122,T-MOBILE US INC,TMUS,N/A,3147827.0,394391000.0,0.096594,0.1439,-955404.0,-23.284188,REDUCTION,0.2532842,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2021,88.9
123,MASTERCARD INC,MA,N/A,1101599.0,392225000.0,0.0960635,0.059,465446.0,73.165732,ADDITION,0.1118208,FINANCE,13F,03/31/2021,309.3491
124,BROADCOM LTD. (AVAGO TECHNOLOGIES),AVGO,PUT,845800.0,392164000.0,0.0960486,0.1137,-153000.0,-15.318382,REDUCTION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
125,JOHNSON & JOHNSON CO.,JNJ,PUT,2386000.0,392139000.0,0.0960424,0.1211,-573900.0,-19.389169,REDUCTION,N/A,HEALTH CARE,13F,03/31/2021,N/A
126,ASML HOLDING NV (ADR),ASML,PUT,635100.0,392085000.0,0.0960292,0.0374,340500.0,115.580448,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
127,BANK OF AMERICA CORP. (NORTH CAROLINA NATIONAL BANK),BAC,N/A,9987171.0,386404000.0,0.0946378,0.1222,-5514695.0,-35.574395,REDUCTION,0.1157631,FINANCE,13F,03/31/2021,23.84
128,MASTERCARD INC,MA,CALL,1083400.0,385745000.0,0.0944764,0.1009,-3300.0,-0.303672,REDUCTION,N/A,FINANCE,13F,03/31/2021,N/A
129,MCDONALDS CORP.,MCD,N/A,1719307.0,385365000.0,0.0943834,0.0594,653789.0,61.358795,ADDITION,0.2306024,CONSUMER DISCRETIONARY,13F,03/31/2021,216.5234
130,FEDEX CORPORATION,FDX,CALL,1349500.0,383312000.0,0.0938805,0.0794,173900.0,14.792446,ADDITION,N/A,TRANSPORTS,13F,03/31/2021,N/A
131,TWITTER INC,TWTR,CALL,6020900.0,383110000.0,0.0938311,0.0737,789500.0,15.091562,ADDITION,N/A,COMMUNICATIONS,13F,03/31/2021,N/A
132,ALEXION PHARMACEUTICALS INC.,ALXN,N/A,2503172.0,382760000.0,0.0937453,0.0336,1675222.0,202.333716,ADDITION,1.1385923,HEALTH CARE,13F,03/31/2021,139.835
133,ADVANCED MICRO DEVICES INC,AMD,N/A,4811493.0,377702000.0,0.0925065,0.0351,3337825.0,226.497759,ADDITION,0.3970523,INFORMATION TECHNOLOGY,13F,03/31/2021,81.0973
134,PALANTIR TECHNOLOGIES INC.,PLTR,PUT,16034900.0,373453000.0,0.0914659,0.0201,12758700.0,389.435932,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
135,ANALOG DEVICES INC,ADI,N/A,2396923.0,371715000.0,0.0910402,0.1286,-951105.0,-28.407917,REDUCTION,0.6497597,INFORMATION TECHNOLOGY,13F,03/31/2021,146.37
136,VERTEX PHARMACEUTICALS  INC.,VRTX,N/A,1719180.0,369435000.0,0.0904818,0.0908,240821.0,16.289751,ADDITION,0.6613247,HEALTH CARE,13F,03/31/2021,252.3138
137,SEA LTD ADR,SE,PUT,1630900.0,364066000.0,0.0891668,0.0346,961700.0,143.708906,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
138,CITIGROUP  INC.,C,CALL,4907600.0,357028000.0,0.0874431,0.0695,573800.0,13.240113,ADDITION,N/A,FINANCE,13F,03/31/2021,N/A
139,PINDUODUO INC,PDD,PUT,2645400.0,354166000.0,0.0867421,0.0848,809700.0,44.108514,ADDITION,N/A,CONSUMER DISCRETIONARY,13F,03/31/2021,N/A
140,SPDR S&P FINANCIAL ETF,XLF,CALL,10392400.0,353861000.0,0.0866674,0.0867,-918700.0,-8.12211,REDUCTION,NO DATA,FINANCE,13F,03/31/2021,N/A
141,INTERNATIONAL BUSINESS MACHINES CORP,IBM,CALL,2646900.0,352726000.0,0.0863894,0.0691,536100.0,25.397953,ADDITION,N/A,INFORMATION TECHNOLOGY,13F,03/31/2021,N/A
142,INTEL CORP.,INTC,N/A,5504008.0,352256000.0,0.0862743,0.0166,4221296.0,329.091487,ADDITION,0.1354666,INFORMATION TECHNOLOGY,13F,03/31/2021,60.6953
143,DANAHER CORP.,DHR,N/A,1562692.0,351731000.0,0.0861457,0.0774,221808.0,16.541923,ADDITION,0.2191506,HEALTH CARE,13F,03/31/2021,194.4644
144,MEDTRONIC PLC,MDT,N/A,2954806.0,349051000.0,0.0854893,0.0859,133403.0,4.72825,ADDITION,0.2191874,HEALTH CARE,13F,03/31/2021,99.7682
